demo,claim_id,claim_type,value,manuscript_loc,qc_artifact,analysis_table,source_data_manifest,verified_citation,provenance_score,match_confidence,auto_or_manual,claim_text
01_wisconsin_bc,C041,numerical,0.992,L49,outputs_md,yes,yes,,complete,exact,auto,"machine reached an AUC of 0.997 (95% CI 0.992–1.000), with sensitivity 0.922 (95% CI 0.830–"
01_wisconsin_bc,C042,numerical,0.830,L49,,yes,yes,,complete,exact,auto,"–1.000), with sensitivity 0.922 (95% CI 0.830–0.966), specificity 1.000 (95% CI 0.965–1.000"
01_wisconsin_bc,C043,numerical,0.966,L49,,yes,yes,,complete,exact,auto,"–1.000), with sensitivity 0.922 (95% CI 0.830–0.966), specificity 1.000 (95% CI 0.965–1.000"
01_wisconsin_bc,C044,numerical,0.965,L49,,yes,yes,,complete,exact,auto,"0.830–0.966), specificity 1.000 (95% CI 0.965–1.000), and a Brier score of 0.020. The recei"
01_wisconsin_bc,C045,numerical,398,L9,yes,yes,yes,,partial,loose,auto,Samples were partitioned into training (n = 398) and test (n = 171) sets by a stratifie
01_wisconsin_bc,C046,numerical,171,L9,yes,yes,yes,,partial,loose,auto,ioned into training (n = 398) and test (n = 171) sets by a stratified 70/30 split (seed
01_wisconsin_bc,C047,numerical,398,L35,yes,yes,yes,,partial,loose,auto,s were partitioned into a training set (n = 398) and a test set (n = 171) by a stratifi
01_wisconsin_bc,C048,numerical,171,L35,yes,yes,yes,,partial,loose,auto,training set (n = 398) and a test set (n = 171) by a stratified 70/30 split with a fix
01_wisconsin_bc,C049,numerical,171,L47,yes,yes,yes,,partial,loose,auto,"# Diagnostic accuracy On the test set (n = 171), logistic regression reached an AUC of"
01_wisconsin_bc,C050,numerical,398,L73,yes,yes,yes,,partial,loose,auto,30 split (seed 42) into a training set (n = 398) and a test set (n = 171). The histopat
01_wisconsin_bc,C051,numerical,171,L73,yes,yes,yes,,partial,loose,auto,training set (n = 398) and a test set (n = 171). The histopathology reference standard
01_wisconsin_bc,C052,numerical,171,L77,yes,yes,yes,,partial,loose,auto,"a 0.5 probability threshold (test set, n = 171). ## References > Note: the reference"
01_wisconsin_bc,C053,citation,,L17,,,,placeholder,manual-only,,manual,od for a palpable or imaged breast mass [1]. Digitized FNA images can be reduced to
01_wisconsin_bc,C054,citation,,L17,,,,placeholder,manual-only,,manual,enign lesions with substantial accuracy [2]. Translating such measurements into a r
01_wisconsin_bc,C055,citation,,L17,,,,placeholder,manual-only,,manual,clear consensus on which is preferable [3]. Reporting of diagnostic-accuracy stud
01_wisconsin_bc,C056,citation,,L19,,,,placeholder,manual-only,,manual,tes accompanied by confidence intervals [4]. Comparative claims between competing i
01_wisconsin_bc,C057,citation,,L19,,,,placeholder,manual-only,,manual,side-by-side display of point estimates [5]. Many published comparisons report only
01_wisconsin_bc,C058,citation,,L27,,,,placeholder,manual-only,,manual,"ataset as distributed with scikit-learn [6], comprising 569 FNA samples. Thirty cyt"
01_wisconsin_bc,C059,citation,,L31,,,,placeholder,manual-only,,manual,"uated: a logistic-regression classifier [7], a random-forest classifier with 400 tr"
01_wisconsin_bc,C060,citation,,L31,,,,placeholder,manual-only,,manual,"random-forest classifier with 400 trees [8], and a support-vector machine with a ra"
01_wisconsin_bc,C061,citation,,L31,,,,placeholder,manual-only,,manual,ine with a radial-basis-function kernel [9]. Continuous features were standardized
01_wisconsin_bc,C062,citation,,L37,,,,placeholder,manual-only,,manual,idence intervals from the DeLong method [5]. At a fixed probability threshold of 0.
01_wisconsin_bc,C063,citation,,L37,,,,placeholder,manual-only,,manual,e given Wilson 95% confidence intervals [10]. Probability calibration was summarized
01_wisconsin_bc,C064,citation,,L37,,,,placeholder,manual-only,,manual,ation was summarized by the Brier score [11]. The Youden index was used to report an
01_wisconsin_bc,C065,citation,,L37,,,,placeholder,manual-only,,manual,the DeLong method for correlated curves [5]; a two-sided p value below 0.05 was tre
01_wisconsin_bc,C066,citation,,L37,,,,placeholder,manual-only,,manual,rting followed the STARD 2015 statement [4]. Analyses used Python (scikit-learn [6]
01_wisconsin_bc,C067,citation,,L37,,,,placeholder,manual-only,,manual,[4]. Analyses used Python (scikit-learn [6] and SciPy [12]) with the random seed fi
01_wisconsin_bc,C068,citation,,L37,,,,placeholder,manual-only,,manual,used Python (scikit-learn [6] and SciPy [12]) with the random seed fixed at 42 for r
01_wisconsin_bc,C069,citation,,L59,,,,placeholder,manual-only,,manual,titive with ensemble and kernel methods [3]. The practical implication is that a co
01_wisconsin_bc,C070,reporting,STARD,L19,yes,,,,complete,,auto,"tic-accuracy studies is governed by the STARD 2015 statement, which asks for an expli"
01_wisconsin_bc,C071,reporting,STARD,L37,yes,,,,complete,,auto,of a difference. Reporting followed the STARD 2015 statement [4]. Analyses used Pytho
01_wisconsin_bc,C072,reporting,STARD,L59,yes,,,,complete,,auto,"a paired test of discrimination, as the STARD framework and the DeLong method jointly"
01_wisconsin_bc,C073,reporting,STARD,L63,yes,,,,complete,,auto,"aceable diagnostic-accuracy workflow: a STARD-compliant participant flow, AUC estimat"
01_wisconsin_bc,C074,reporting,STARD,L73,yes,,,,complete,,auto,ntly. ## Figure Legends **Figure 1.** STARD 2015 participant flow diagram. The 569
01_wisconsin_bc,C075,reporting,STARD,L89,yes,,,,complete,,auto,"ata. 4. [UNVERIFIED] Bossuyt PM, et al. STARD 2015 statement for reporting diagnostic"
01_wisconsin_bc,C076,figure_table,Figure 1,L43,,,,,manual-only,,manual,= 0.767). Participant flow is shown in Figure 1. ### Diagnostic accuracy On the test
01_wisconsin_bc,C077,figure_table,Figure 2,L49,,,,,manual-only,,manual,ting-characteristic curves are shown in Figure 2 and the confusion matrices at the 0.5 t
01_wisconsin_bc,C078,figure_table,Figure 3,L49,,,,,manual-only,,manual,fusion matrices at the 0.5 threshold in Figure 3. ### Pairwise comparison of discrimina
01_wisconsin_bc,C079,figure_table,Figure 1,L73,,,,,manual-only,,manual,ed independently. ## Figure Legends **Figure 1.** STARD 2015 participant flow diagram.
01_wisconsin_bc,C080,figure_table,Figure 2,L75,,,,,manual-only,,manual,"(TP = 60, FP = 1, FN = 4, TN = 106). **Figure 2.** Receiver-operating-characteristic cu"
01_wisconsin_bc,C081,figure_table,Figure 3,L77,,,,,manual-only,,manual,% confidence interval in the legend. **Figure 3.** Confusion matrices for the three ind
01_wisconsin_bc,C082,analysis_method,logistic regression,L9,,script,yes,,complete,,auto,"tests were fitted on the training set: logistic regression, random forest, and a support-vector ma"
01_wisconsin_bc,C083,analysis_method,random forest,L9,,script,yes,,complete,,auto,"the training set: logistic regression, random forest, and a support-vector machine with a ra"
01_wisconsin_bc,C084,analysis_method,DeLong,L9,,script,yes,,complete,,auto,erating-characteristic curve (AUC) with DeLong 95% confidence intervals; sensitivity a
01_wisconsin_bc,C085,analysis_method,Wilson interval,L9,,,,,manual-only,,manual,robability threshold were reported with Wilson intervals; calibration was summarized by the Bri
01_wisconsin_bc,C086,analysis_method,DeLong,L9,,script,yes,,complete,,auto,se AUC differences were tested with the DeLong method. **Results:** On the test set (
01_wisconsin_bc,C087,analysis_method,logistic regression,L11,,script,yes,,complete,,auto,"he test set (64 malignant, 107 benign), logistic regression reached an AUC of 0.998 (95% CI 0.994–1"
01_wisconsin_bc,C088,analysis_method,random forest,L11,,script,yes,,complete,,auto,"eshold, and a Brier score of 0.019. The random forest reached an AUC of 0.996 (95% CI 0.991–1"
01_wisconsin_bc,C089,analysis_method,DeLong,L11,,script,yes,,complete,,auto,95% CI 0.992–1.000). All three pairwise DeLong comparisons were non-significant (p = 0
01_wisconsin_bc,C090,analysis_method,logistic regression,L13,,script,yes,,complete,,auto,inguishable accuracy on this benchmark; logistic regression offered the best probability calibratio
01_wisconsin_bc,C091,analysis_method,DeLong,L37,,script,yes,,complete,,auto,with 95% confidence intervals from the DeLong method [5]. At a fixed probability thre
01_wisconsin_bc,C092,analysis_method,DeLong,L37,,script,yes,,complete,,auto,etween index tests were tested with the DeLong method for correlated curves [5]; a two
01_wisconsin_bc,C093,analysis_method,logistic regression,L47,,script,yes,,complete,,auto,"ic accuracy On the test set (n = 171), logistic regression reached an AUC of 0.998 (95% CI 0.994–1"
01_wisconsin_bc,C094,analysis_method,random forest,L49,,script,yes,,complete,,auto,e lowest of the three index tests. The random forest reached an AUC of 0.996 (95% CI 0.991–1
01_wisconsin_bc,C095,analysis_method,DeLong,L53,,script,yes,,complete,,auto,inguishable in discrimination. Pairwise DeLong tests gave p = 0.554 for logistic regre
01_wisconsin_bc,C096,analysis_method,logistic regression,L53,,script,yes,,complete,,auto,"airwise DeLong tests gave p = 0.554 for logistic regression versus random forest, p = 0.800 for log"
01_wisconsin_bc,C097,analysis_method,random forest,L53,,script,yes,,complete,,auto,"= 0.554 for logistic regression versus random forest, p = 0.800 for logistic regression vers"
01_wisconsin_bc,C098,analysis_method,logistic regression,L53,,script,yes,,complete,,auto,"ion versus random forest, p = 0.800 for logistic regression versus the support-vector machine, and"
01_wisconsin_bc,C099,analysis_method,random forest,L53,,script,yes,,complete,,auto,"pport-vector machine, and p = 0.640 for random forest versus the support-vector machine. No p"
01_wisconsin_bc,C100,analysis_method,Logistic regression,L57,,script,yes,,complete,,auto,"hem were not statistically significant. Logistic regression, the simplest model, matched the two mo"
01_wisconsin_bc,C101,analysis_method,DeLong,L59,,script,yes,,complete,,auto,"ination, as the STARD framework and the DeLong method jointly recommend [4,5]; had we"
01_wisconsin_bc,C102,analysis_method,logistic regression,L59,,script,yes,,complete,,auto,"reported only the AUC point estimates, logistic regression's 0.998 would appear to outrank the ran"
01_wisconsin_bc,C103,analysis_method,random forest,L59,,script,yes,,complete,,auto,"ion's 0.998 would appear to outrank the random forest's 0.996, yet that ordering is within sa"
01_wisconsin_bc,C104,analysis_method,DeLong,L63,,script,yes,,complete,,auto,"nt participant flow, AUC estimates with DeLong intervals, threshold metrics with Wilso"
01_wisconsin_bc,C105,analysis_method,Wilson interval,L63,,,,,manual-only,,manual,"eLong intervals, threshold metrics with Wilson intervals, a calibration score, and a paired tes"
01_wisconsin_bc,C106,analysis_method,logistic regression,L65,,script,yes,,complete,,auto,"committed analysis table. In summary, logistic regression, random forest, and a radial-basis-func"
01_wisconsin_bc,C107,analysis_method,random forest,L65,,script,yes,,complete,,auto,"able. In summary, logistic regression, random forest, and a radial-basis-function support-ve"
01_wisconsin_bc,C108,analysis_method,logistic regression,L65,,script,yes,,complete,,auto,gh accuracy on the Wisconsin benchmark; logistic regression is the most attractive of the three bec
01_wisconsin_bc,C109,analysis_method,DeLong,L69,,script,yes,,complete,,auto,"racy estimate, confidence interval, and DeLong comparison reported here can be recompu"
01_wisconsin_bc,C110,analysis_method,DeLong,L75,,script,yes,,complete,,auto,"three index tests on the test set, with DeLong AUC and 95% confidence interval in the"
01_wisconsin_bc,C111,analysis_method,DeLong,L90,,script,yes,,complete,,auto,"ostic accuracy studies. 5. [UNVERIFIED] DeLong ER, et al. Comparing the areas under tw"
01_wisconsin_bc,C112,analysis_method,logistic regression,L92,,script,yes,,complete,,auto,in Python. 7. [UNVERIFIED] Reference on logistic regression for classification. 8. [UNVERIFIED] Bre
01_wisconsin_bc,C113,analysis_method,Random forest,L93,,script,yes,,complete,,auto,"ssification. 8. [UNVERIFIED] Breiman L. Random forests. 9. [UNVERIFIED] Cortes C, Vapnik V. S"
02_metafor_bcg,C001,numerical,0.489,L9,yes,yes,yes,,complete,exact,auto,"accination was associated with a pooled RR of 0.489 (95% CI 0.344 to 0.696), corresponding"
02_metafor_bcg,C002,numerical,0.489,L9,yes,yes,yes,,complete,exact,auto,"tment gave an identical point estimate (RR 0.489, 95% CI 0.330 to 0.726). **Conclusion:"
02_metafor_bcg,C003,numerical,1.0,L35,yes,yes,yes,,complete,exact,auto,"rm relative to the control arm, with an RR below 1.0 indicating protection. For each trial w"
02_metafor_bcg,C004,numerical,0.489,L53,yes,yes,yes,,complete,exact,auto,"accination was associated with a pooled risk ratio of 0.489 (95% CI 0.344 to 0.696), corresponding"
02_metafor_bcg,C005,numerical,0.489,L53,yes,yes,yes,,complete,exact,auto,tment produced the same point estimate (RR 0.489) with a wider confidence interval (0.33
02_metafor_bcg,C006,numerical,0.452,L61,yes,yes,yes,,partial,loose,auto,"the leave-one-out analysis, the pooled risk ratio remained between 0.452 and 0.533 regardless of which single tr"
02_metafor_bcg,C007,numerical,0.489,L65,yes,yes,yes,,complete,exact,auto,"the risk of tuberculosis, with a pooled risk ratio of 0.489. The protective direction was consisten"
02_metafor_bcg,C008,numerical,0.489,L87,yes,yes,yes,,complete,exact,auto,"is the pooled random-effects estimate (RR 0.489, 95% CI 0.344 to 0.696). The vertical d"
02_metafor_bcg,C009,numerical,357347,L7,,yes,yes,,complete,exact,auto,"f BCG vaccine versus control comprising 357,347 participants. The effect measure was the risk ratio"
02_metafor_bcg,C010,numerical,357347,L49,,yes,yes,,complete,exact,auto,"o the meta-analysis, together enrolling 357,347 participants across the vaccinated and control arms"
02_metafor_bcg,C011,numerical,350000,L65,,,,,missing,,auto,"3 randomized trials enrolling more than 350,000 participants, BCG vaccination roughly halved the ris"
02_metafor_bcg,C012,numerical,357347,L85,,yes,yes,,complete,exact,auto,"terminates in the 13 randomized trials (357,347 participants) included in the meta-analysis. Upstrea"
02_metafor_bcg,C013,numerical,92.2,L9,yes,yes,yes,,partial,loose,auto,"Heterogeneity was very high (I-squared 92.2%, tau-squared 0.313; Cochran Q = 152.23,"
02_metafor_bcg,C014,numerical,92.2,L57,yes,yes,yes,,partial,loose,auto,"very high. The I-squared statistic was 92.2%, the between-trial variance tau-squared"
02_metafor_bcg,C015,numerical,87.0,L61,outputs_md,yes,yes,,partial,loose,auto,the I-squared statistic stayed between 87.0% and 93.2%. ## **DISCUSSION** Across 1
02_metafor_bcg,C016,numerical,93.2,L61,outputs_md,yes,yes,,partial,loose,auto,ared statistic stayed between 87.0% and 93.2%. ## **DISCUSSION** Across 13 randomiz
02_metafor_bcg,C017,numerical,92.2,L67,yes,yes,yes,,partial,loose,auto,ather than its average. An I-squared of 92.2% means that almost all of the observed v
02_metafor_bcg,C018,reporting,PRISMA,L7,yes,,,,complete,,auto,ve-one-out analysis. Reporting followed PRISMA 2020. **Results:** BCG vaccination was
02_metafor_bcg,C019,reporting,PRISMA,L27,yes,,,,complete,,auto,"ulosis, reported in accordance with the PRISMA 2020 statement [UNVERIFIED]. The trial-"
02_metafor_bcg,C020,reporting,PRISMA,L85,yes,,,,complete,,auto,calc.csv. ## Figure Legends Figure 1. PRISMA 2020 study-selection flow diagram. The
02_metafor_bcg,C021,figure_table,Figure 1,L27,,,,,manual-only,,manual,s shown in the study-selection diagram (Figure 1) are illustrative of a typical search-a
02_metafor_bcg,C022,figure_table,Figure 1,L49,,,,,manual-only,,manual,across the vaccinated and control arms (Figure 1). Trial-level risk ratios ranged from 0
02_metafor_bcg,C023,figure_table,Table 1,L49,,,,,manual-only,,manual,risk ratios ranged from 0.197 to 1.562 (Table 1). Eleven of the 13 trials had a point e
02_metafor_bcg,C024,figure_table,Figure 2,L53,,,,,manual-only,,manual,reduction in the risk of tuberculosis (Figure 2). The independent cross-check using the
02_metafor_bcg,C025,figure_table,Figure 3,L61,,,,,manual-only,,manual,"n-significant (tau = 0.026, p = 0.952) (Figure 3). In the leave-one-out analysis, the po"
02_metafor_bcg,C026,figure_table,Table 1,L81,,,,,manual-only,,manual,dividual future population. ## Tables Table 1. Per-trial event counts and risk ratios
02_metafor_bcg,C027,figure_table,Figure 1,L85,,,,,manual-only,,manual,r_study_escalc.csv. ## Figure Legends Figure 1. PRISMA 2020 study-selection flow diagr
02_metafor_bcg,C028,figure_table,Figure 2,L87,,,,,manual-only,,manual,ot the yield of a new database search. Figure 2. Random-effects (REML) forest plot of t
02_metafor_bcg,C029,figure_table,Figure 3,L89,,,,,manual-only,,manual,shed line marks the null value of one. Figure 3. Funnel plot of the trial-level log ris
02_metafor_bcg,C030,analysis_method,Random-Effects,L1,,script,yes,,complete,,auto,BCG Vaccination Against Tuberculosis: A Random-Effects Meta-Analysis of 13 Randomized Trials
02_metafor_bcg,C031,analysis_method,random-effects,L7,,script,yes,,complete,,auto,mpling variances and pooled them with a random-effects model estimated by restricted maximum l
02_metafor_bcg,C032,analysis_method,REML,L7,,script,yes,,complete,,auto,mated by restricted maximum likelihood (REML). Heterogeneity was summarized by I-squ
02_metafor_bcg,C033,analysis_method,random-effects,L13,,script,yes,,complete,,auto,uberculosis; meta-analysis; risk ratio; random-effects model ## **INTRODUCTION** Tuberculosi
02_metafor_bcg,C034,analysis_method,random-effects,L21,,script,yes,,complete,,auto,"of vaccination on TB incidence under a random-effects model, and to characterize the between-"
02_metafor_bcg,C035,analysis_method,random-effects,L27,,script,yes,,complete,,auto,tudy design and data source This was a random-effects meta-analysis of randomized controlled
02_metafor_bcg,C036,analysis_method,inverse-variance,L43,,,,,manual-only,,manual,os and variances were computed with the inverse-variance approach implemented in the metafor pac
02_metafor_bcg,C037,analysis_method,random-effects,L43,,script,yes,,complete,,auto,UNVERIFIED]. Effects were pooled with a random-effects model fitted by restricted maximum like
02_metafor_bcg,C038,analysis_method,REML,L43,,script,yes,,complete,,auto,itted by restricted maximum likelihood (REML) [UNVERIFIED]. Between-trial heterogene
02_metafor_bcg,C039,analysis_method,inverse-variance,L43,,,,,manual-only,,manual,e-fitted with the meta package using an inverse-variance random-effects model with the Hartung-K
02_metafor_bcg,C040,analysis_method,random-effects,L43,,script,yes,,complete,,auto,meta package using an inverse-variance random-effects model with the Hartung-Knapp adjustment
02_metafor_bcg,C041,analysis_method,random-effects,L53,,script,yes,,complete,,auto,"irection. ### Pooled effect Under the random-effects REML model, BCG vaccination was associa"
02_metafor_bcg,C042,analysis_method,REML,L53,,script,yes,,complete,,auto,"Pooled effect Under the random-effects REML model, BCG vaccination was associated w"
02_metafor_bcg,C043,analysis_method,Random-effects,L87,,script,yes,,complete,,auto,ld of a new database search. Figure 2. Random-effects (REML) forest plot of the risk ratio of
02_metafor_bcg,C044,analysis_method,REML,L87,,script,yes,,complete,,auto,base search. Figure 2. Random-effects (REML) forest plot of the risk ratio of tuber
02_metafor_bcg,C045,analysis_method,inverse-variance,L87,,,,,manual-only,,manual,es are trial-level risk ratios sized by inverse-variance weight; horizontal lines are 95% confid
02_metafor_bcg,C046,analysis_method,random-effects,L87,,script,yes,,complete,,auto,"ce intervals; the diamond is the pooled random-effects estimate (RR 0.489, 95% CI 0.344 to 0.6"
03_nhanes_obesity,C001,numerical,11.7,L18,yes,yes,yes,,partial,loose,auto,"met eligibility criteria. The weighted prevalence of diabetes was 11.7% (95% confidence interval [CI], 10.6-12"
03_nhanes_obesity,C002,numerical,7.6,L19,yes,,,,missing,,auto,"42.3% (95% CI, 38.9-45.7). The weighted prevalence of diabetes was 7.6% among non-obese adults and 17.3% among"
03_nhanes_obesity,C003,numerical,3.03,L21,yes,yes,yes,,complete,exact,auto,", obesity was associated with diabetes (aOR 3.03; 95% CI, 2.29-4.02; p < 0.001) after ad"
03_nhanes_obesity,C004,numerical,2.95,L22,yes,yes,yes,,partial,loose,auto,"ed sensitivity analysis was concordant (aOR 2.95; 95% CI, 2.18-3.98). **Conclusion:** I"
03_nhanes_obesity,C005,numerical,11.7,L119,yes,yes,yes,,partial,loose,auto,"### Weighted prevalence The weighted prevalence of diabetes was 11.7% (95% CI, 10.6-12.8), and the weighted"
03_nhanes_obesity,C006,numerical,42.3,L120,yes,yes,yes,,partial,loose,auto,"% (95% CI, 10.6-12.8), and the weighted prevalence of obesity was 42.3% (95% CI, 38.9-45.7). Adults with diabe"
03_nhanes_obesity,C007,numerical,7.6,L122,yes,,,,missing,,auto,us 29.3 kg/m^2) (Table 1). The weighted prevalence of diabetes was 7.6% among non-obese adults and 17.3% among
03_nhanes_obesity,C008,numerical,3.03,L128,yes,yes,yes,,complete,exact,auto,"associated with self-reported diabetes (aOR 3.03; 95% CI, 2.29-4.02; p < 0.001) after ad"
03_nhanes_obesity,C009,numerical,1.07,L129,,yes,yes,,complete,exact,auto,"age was also associated with diabetes (aOR 1.07 per year; 95% CI, 1.06-1.08; p < 0.001)"
03_nhanes_obesity,C010,numerical,0.66,L130,,yes,yes,,complete,exact,auto,"ale sex was associated with lower odds (aOR 0.66; 95% CI, 0.47-0.92; p = 0.046). Relativ"
